,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,uri,duration_ms,mood
0,0.287,0.12,-23.17,0.0334,0.756,0.888,0.0916,0.0402,70.212,2MuaFOZj37wxfuE5owVhF9,spotify:track:2MuaFOZj37wxfuE5owVhF9,85714,Relaxing
1,0.248,0.146,-21.551,0.0373,0.893,0.725,0.0957,0.0353,73.963,1GwaCX84BPG0GRoC0zIa9P,spotify:track:1GwaCX84BPG0GRoC0zIa9P,94648,Relaxing
2,0.413,0.148,-19.361,0.0339,0.603,0.848,0.0961,0.0574,143.578,04JXK1GuqYWZHaRPpdIiv9,spotify:track:04JXK1GuqYWZHaRPpdIiv9,87500,Relaxing
3,0.515,0.0604,-23.755,0.0324,0.973,0.494,0.141,0.175,79.958,1UuovFMJZO3lThwwVBafbN,spotify:track:1UuovFMJZO3lThwwVBafbN,72000,Relaxing
4,0.507,0.00721,-26.424,0.0361,0.978,0.894,0.107,0.039,85.065,5FiIDwTS9PJKMy2fcKp0k1,spotify:track:5FiIDwTS9PJKMy2fcKp0k1,97037,Relaxing
5,0.156,0.176,-22.964,0.0359,0.944,0.809,0.0739,0.127,70.262,24Q3JyGSmQNM1XiXyZcshq,spotify:track:24Q3JyGSmQNM1XiXyZcshq,87887,Relaxing
6,0.182,0.0415,-26.378,0.0392,0.952,0.975,0.112,0.0376,67.435,67RoG8WRlEzSusTEDRcPdb,spotify:track:67RoG8WRlEzSusTEDRcPdb,89143,Relaxing
7,0.419,0.0359,-25.45,0.0471,0.994,0.934,0.123,0.359,70.31,4EeSyjkNQyxVgps0FGu2LP,spotify:track:4EeSyjkNQyxVgps0FGu2LP,94737,Relaxing
8,0.546,0.0157,-23.15,0.0353,0.962,0.928,0.08,0.21,139.937,5KEm9mvIwaLf0mQ1M4AYLz,spotify:track:5KEm9mvIwaLf0mQ1M4AYLz,99429,Relaxing
9,0.215,0.0796,-23.323,0.0303,0.945,0.955,0.072,0.0394,70.316,63srq70JClmi80OC6X7J5g,spotify:track:63srq70JClmi80OC6X7J5g,120000,Relaxing
10,0.166,0.0367,-26.202,0.0398,0.701,0.823,0.108,0.135,139.73,4525Hx49ZxzUeeaKrlYlaS,spotify:track:4525Hx49ZxzUeeaKrlYlaS,85714,Relaxing
11,0.222,0.0551,-24.982,0.038,0.937,0.855,0.125,0.0377,87.327,23rqBG7JfLr8TUXuuCGhma,spotify:track:23rqBG7JfLr8TUXuuCGhma,102857,Relaxing
12,0.15,0.175,-23.606,0.0451,0.868,0.857,0.0982,0.102,142.857,1ziqGVefdg2e0FmgCsZP0i,spotify:track:1ziqGVefdg2e0FmgCsZP0i,128451,Relaxing
13,0.189,0.131,-24.596,0.0438,0.875,0.795,0.0968,0.0368,76.095,7dDvxTzHJLfIgZriRfhOLB,spotify:track:7dDvxTzHJLfIgZriRfhOLB,96000,Relaxing
14,0.202,0.18,-22.992,0.0433,0.628,0.822,0.116,0.0307,62.392,0ujfGX9iCJZzqWlkKoFVdc,spotify:track:0ujfGX9iCJZzqWlkKoFVdc,90435,Relaxing
15,0.262,0.0524,-24.711,0.0335,0.958,0.762,0.0867,0.037,149.793,03zDDHNSpm6ayF8zXbxwvz,spotify:track:03zDDHNSpm6ayF8zXbxwvz,89600,Relaxing
16,0.226,0.197,-23.16,0.0477,0.561,0.983,0.0932,0.0274,72.954,5LIWgEi2xDPGLNxtVocksn,spotify:track:5LIWgEi2xDPGLNxtVocksn,105205,Relaxing
17,0.344,0.00279,-30.108,0.039,0.991,0.936,0.0994,0.393,73.189,0xlX5qEah0o5R4TIktSEOG,spotify:track:0xlX5qEah0o5R4TIktSEOG,85926,Relaxing
18,0.469,0.00128,-34.908,0.0867,0.995,0.978,0.11,0.0,70.752,2M2TSXsNP1l1oW2CFXhgBu,spotify:track:2M2TSXsNP1l1oW2CFXhgBu,63333,Relaxing
19,0.643,0.0324,-33.048,0.146,0.996,0.973,0.105,0.0,70.347,3uUh1YcGhUqkmRUzEqCOiC,spotify:track:3uUh1YcGhUqkmRUzEqCOiC,65143,Relaxing
20,0.573,0.00152,-37.672,0.0641,0.996,0.973,0.107,0.898,69.666,4ybCihmUckfn3u8yOrRqLC,spotify:track:4ybCihmUckfn3u8yOrRqLC,69429,Relaxing
21,0.641,0.0345,-35.587,0.0422,0.996,0.973,0.114,0.934,69.922,0mEfx07KcDFUKNrU16Bk5N,spotify:track:0mEfx07KcDFUKNrU16Bk5N,66857,Relaxing
22,0.535,0.000871,-36.857,0.193,0.995,0.969,0.118,0.0,71.323,2cQGtXBC1JrANk7o4rESD0,spotify:track:2cQGtXBC1JrANk7o4rESD0,66667,Relaxing
23,0.2,0.0318,-26.218,0.0381,0.949,0.877,0.0917,0.0362,71.294,6nYg4DgEq6DlhpcWFNDyTl,spotify:track:6nYg4DgEq6DlhpcWFNDyTl,121690,Relaxing
24,0.148,0.0936,-28.659,0.0397,0.862,0.785,0.0936,0.0361,73.925,2GgmYWk2zlMNnfyNY1hz23,spotify:track:2GgmYWk2zlMNnfyNY1hz23,103333,Relaxing
25,0.357,0.205,-22.167,0.0308,0.879,0.932,0.0918,0.0618,140.353,5UZzBvSXjY2o5aKcPCIYEU,spotify:track:5UZzBvSXjY2o5aKcPCIYEU,116571,Relaxing
26,0.205,0.106,-24.15,0.0371,0.883,0.71,0.105,0.039,71.725,469IscYwMjAgAlR7Z5y0Vw,spotify:track:469IscYwMjAgAlR7Z5y0Vw,110000,Relaxing
27,0.231,0.0782,-26.117,0.0384,0.968,0.963,0.0989,0.031,66.065,7vYPrJgPqfGhsOfkL0okpf,spotify:track:7vYPrJgPqfGhsOfkL0okpf,99200,Relaxing
28,0.411,0.129,-21.368,0.0338,0.99,0.934,0.0767,0.205,140.158,26uvmHRLvY2VWgcH8I4lS2,spotify:track:26uvmHRLvY2VWgcH8I4lS2,102857,Relaxing
29,0.635,0.0148,-26.897,0.046,0.995,0.881,0.102,0.46,81.671,6DH7CWK3fKjCH33GkJvhoN,spotify:track:6DH7CWK3fKjCH33GkJvhoN,84304,Relaxing
30,0.224,0.178,-21.753,0.0368,0.931,0.854,0.0668,0.0392,73.234,5yIbgGtGi7d65Os51YvVVZ,spotify:track:5yIbgGtGi7d65Os51YvVVZ,98630,Relaxing
31,0.127,0.114,-26.26,0.0441,0.981,0.97,0.0957,0.0372,66.43,14PxQSLWQxUQvIFcP3uQas,spotify:track:14PxQSLWQxUQvIFcP3uQas,115200,Relaxing
32,0.191,0.106,-27.305,0.0444,0.969,0.963,0.0808,0.0323,70.785,6KImaBgqBj8HdXBQVPEIup,spotify:track:6KImaBgqBj8HdXBQVPEIup,99429,Relaxing
33,0.175,0.119,-22.492,0.0503,0.905,0.941,0.0851,0.0281,84.932,0x5bRvUlDk1rmzMorvUxYR,spotify:track:0x5bRvUlDk1rmzMorvUxYR,96000,Relaxing
34,0.155,0.11,-24.356,0.0479,0.909,0.894,0.12,0.0365,76.131,2S5YfHhXQX5uNxAmWTjIJ3,spotify:track:2S5YfHhXQX5uNxAmWTjIJ3,94648,Relaxing
35,0.203,0.118,-25.76,0.0364,0.962,0.959,0.101,0.0382,83.075,0NaUuX5de2UDdnMHuJHW03,spotify:track:0NaUuX5de2UDdnMHuJHW03,89143,Relaxing
36,0.193,0.0805,-25.656,0.0421,0.957,0.97,0.095,0.05,73.269,7dmTVe7uWD4K6afhJt7Lfs,spotify:track:7dmTVe7uWD4K6afhJt7Lfs,91268,Relaxing
37,0.197,0.221,-18.945,0.0344,0.0536,0.828,0.106,0.139,65.123,0eQcEQpGfRuDUo00SsCiK8,spotify:track:0eQcEQpGfRuDUo00SsCiK8,92571,Relaxing
38,0.17,0.148,-22.296,0.0537,0.843,0.926,0.181,0.103,127.074,4DNSeJqArKV7exjSCFU4es,spotify:track:4DNSeJqArKV7exjSCFU4es,96000,Relaxing
39,0.176,0.121,-24.366,0.0452,0.954,0.953,0.0965,0.0499,72.272,2Bwta0kTrDd4Gss0IoNzxh,spotify:track:2Bwta0kTrDd4Gss0IoNzxh,114930,Relaxing
40,0.192,0.183,-23.161,0.0387,0.875,0.939,0.169,0.0323,87.834,4FSLfHDKnnmxfskTPOBH9T,spotify:track:4FSLfHDKnnmxfskTPOBH9T,96000,Relaxing
41,0.217,0.13,-24.219,0.0366,0.766,0.905,0.0997,0.037,76.295,0Wjppz48V1KnrxR80CXE7I,spotify:track:0Wjppz48V1KnrxR80CXE7I,99429,Relaxing
42,0.134,0.147,-22.907,0.0488,0.731,0.925,0.105,0.0345,72.447,00VetaoC8TaqvyumxJIXmx,spotify:track:00VetaoC8TaqvyumxJIXmx,96000,Relaxing
43,0.257,0.0779,-24.761,0.0349,0.972,0.88,0.107,0.0398,143.487,4bjRIPq0xdpy76bKpUFpbM,spotify:track:4bjRIPq0xdpy76bKpUFpbM,90000,Relaxing
44,0.204,0.0616,-25.006,0.0394,0.568,0.835,0.114,0.0439,64.448,7ApTnDx5BI8N92PFna9OR0,spotify:track:7ApTnDx5BI8N92PFna9OR0,120000,Relaxing
45,0.175,0.22,-24.472,0.0434,0.817,0.598,0.0888,0.0314,133.184,3hS0Kv9bh6bSjiA9vb5JTF,spotify:track:3hS0Kv9bh6bSjiA9vb5JTF,89143,Relaxing
