name,album,artist,id,release_date,popularity,length,danceability,acousticness,energy,instrumentalness,liveness,valence,loudness,speechiness,tempo,key,time_signature,mood,uri,duration_ms
1999,1999,Prince,2H7PHVdQ3mXqEHXcvclTB0,1982-10-27,68.0,379266.0,0.866,0.1369999999999999,0.73,0.0,0.0843,0.625,-8.201,0.0767,118.523,5.0,4.0,happy,,
23,23,Blonde Redhead,4HIwL9ii9CcXpTOTzMq0MP,2007-04-16,43.0,318800.0,0.381,0.0189,0.8320000000000001,0.196,0.153,0.166,-5.069,0.0492,120.255,8.0,4.0,sad,,
9 Crimes,9,Damien Rice,5GZEeowhvSieFDiR8fQ2im,2006-11-06,60.0,217946.0,0.346,0.913,0.139,7.730000000000001e-05,0.0934,0.116,-15.326,0.0321,136.168,0.0,4.0,sad,,
99 Luftballons,99 Luftballons,Nena,6HA97v4wEGQ5TUClRM0XLc,1984-08-21,2.0,233000.0,0.466,0.089,0.438,5.62e-06,0.113,0.5870000000000001,-12.858,0.0608,193.1,4.0,4.0,happy,,
A Burden to Bear,A Burden to Bear,Emmanuelle Rimbaud,67DOFCrkcQaLp5yhzF8Y8N,2020-07-31,27.0,129410.0,0.394,0.995,0.0475,0.955,0.105,0.172,-26.432,0.072,71.241,6.0,5.0,calm,,
A La Plage,A La Plage,Ron Adelaar,79NmiFAgcXUIVDGfCWDdWF,2020-08-07,29.0,141888.0,0.504,0.994,0.0584,0.956,0.115,0.5529999999999999,-20.461,0.0516,134.209,5.0,4.0,calm,,
A Little Less Conversation - JXL Radio Edit Remix,Elvis 75 - Good Rockin' Tonight,Elvis Presley,4l2hnfUx0esSbITQa7iJt0,2009-12-28,1.0,211173.0,0.586,0.000155,0.935,0.277,0.159,0.58,-9.386,0.0482,114.997,4.0,4.0,happy,,
Adjustments,Adjustments,Josie Mehlin,6w0vhPaZBYjhrDobs3QE14,2020-01-17,52.0,182000.0,0.532,0.974,0.541,0.8640000000000001,0.228,0.329,-11.932,0.0283,136.063,0.0,4.0,calm,,
Adrift,Adrift,Cooper Sams,3TNNGjgOQ7O8vwAlvlD9Fg,2018-03-21,53.0,158117.0,0.382,0.4970000000000001,0.333,0.918,0.106,0.0486,-15.573,0.0367,84.97399999999998,7.0,4.0,calm,,
Africa,Toto IV,TOTO,2374M0fQpWi3dLnB54qaLX,1982-04-08,84.0,295893.0,0.6709999999999999,0.257,0.373,7.950000000000001e-05,0.0481,0.732,-18.064,0.0323,92.717,9.0,4.0,happy,,
After The Rain,After The Rain,Comet Blue,2XBc2jWnvPqNO2LebVtLaY,2020-08-03,24.0,116625.0,0.456,0.993,0.0337,0.948,0.126,0.3,-26.87,0.0334,97.199,0.0,4.0,calm,,
